nuclides,reactions,groups,xs
U238,fission,2,1.7911127134224936e-05
U238,fission,3,1.4138797571095088e-05
U238,fission,4,1.2017989860270142e-05
U238,fission,5,1.0287650238959329e-05
U238,fission,6,9.000821282949943e-06
U238,fission,7,7.861926865560693e-06
U238,fission,8,6.803343504702007e-06
U238,fission,9,6.097970156018099e-06
U238,fission,10,5.483531223156877e-06
U238,fission,11,4.9004982753679e-06
U238,fission,12,4.0788770625620555e-06
U238,fission,13,3.350190605261785e-06
U238,fission,14,3.0606163463309004e-06
U238,fission,15,2.9803606314906535e-06
U238,fission,16,2.93794061126781e-06
U238,fission,17,2.8668879637012333e-06
U238,fission,18,2.803503549377905e-06
U238,fission,19,2.7166354846733378e-06
U238,fission,20,2.5903164652517474e-06
U238,fission,21,2.446241874763574e-06
U238,fission,22,2.33200183010521e-06
U238,fission,23,2.2509546170772983e-06
U238,fission,24,2.201037262199042e-06
U238,fission,25,2.2613336306500792e-06
U238,fission,26,4.840444537598865e-06
U238,fission,27,1.1962915827674526e-06
U238,fission,28,1.5022653556150277e-05
U238,fission,29,2.172660773335485e-06
U238,fission,30,3.1423016102319342e-06
U238,fission,31,0.0003750716943903146
U238,fission,32,0.0001050146558014135
U238,fission,33,6.222045132155928e-05
U238,fission,34,0.00014593814924956241
U238,fission,35,0.0017478230419590197
U238,fission,36,0.027279775328800483
U238,fission,37,0.42985100724970376
U238,fission,38,0.5386764379099904
U238,fission,39,0.5558947504931541
